id,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,package,promotion_last_5years,division,salary
121,0.75,0.71,2,158,8,1,c,0,product_mng,medium
122,0.83,0.81,2,173,8,1,d,0,IT,low
123,0.44,0.3,1,74,3,0,c,0,management,low
124,0.28,0.15,0,27,1,0,d,0,RandD,low
125,0.33,0.19,0,44,2,0,c,1,management,low
126,0.54,0.43,1,95,4,0,c,0,marketing,low
127,0.76,0.71,2,156,7,1,c,0,marketing,low
128,0.78,0.82,2,164,8,1,d,0,technical,low
129,0.18,0.03,0,6,1,0,d,0,technical,medium
130,0.43,0.46,1,96,4,1,b,0,management,low
131,0.56,0.39,1,92,4,1,c,0,management,high
132,0.41,0.18,1,51,2,0,b,0,support,low
133,0.32,0.09,0,20,1,0,d,1,management,low
134,0.48,0.27,1,76,3,0,b,0,hr,high
135,0.86,0.81,2,179,8,1,c,0,support,low
136,0.49,0.27,1,65,2,1,d,0,technical,medium
137,0.46,0.49,1,113,4,1,c,0,support,low
138,0.61,0.64,1,147,6,1,b,0,marketing,high
139,0.54,0.28,1,69,3,1,d,0,marketing,medium
140,0.89,0.91,2,188,9,1,e,1,technical,medium
141,0.89,0.87,2,186,9,1,b,1,hr,medium
142,0.41,0.27,1,50,2,0,d,0,RandD,low
143,0.6,0.47,1,102,4,0,b,0,management,low
144,0.49,0.24,0,51,2,0,c,0,management,low
145,0.47,0.25,0,54,2,0,c,0,RandD,low
146,0.19,0.05,0,15,0,0,d,0,hr,low
147,0.56,0.5,1,121,5,0,e,0,management,high
148,0.64,0.4,1,93,5,1,b,0,technical,low
149,0.2,0.01,0,19,0,0,d,0,marketing,low
150,0.46,0.23,0,51,3,0,c,0,accounting,low
151,0.86,0.81,2,188,8,1,e,0,management,low
152,0.39,0.21,0,42,2,0,b,0,technical,low
153,0.29,0.09,0,26,1,0,d,0,marketing,medium
154,0.61,0.46,1,98,4,0,b,0,sales,low
155,0.93,0.9,2,198,8,1,e,1,support,low
156,0.4,0.2,0,48,2,0,a,0,management,high
157,0.57,0.55,1,128,6,0,b,0,technical,medium
158,0.67,0.64,1,152,7,0,d,0,management,low
159,0.39,0.21,1,48,2,0,d,0,accounting,medium
160,0.65,0.62,1,140,6,0,e,0,hr,high
161,0.53,0.32,1,84,4,0,b,0,hr,low
162,0.54,0.58,1,133,5,1,c,0,product_mng,medium
163,0.56,0.57,1,134,5,1,d,0,management,low
164,0.46,0.46,1,112,5,0,a,1,management,medium
165,0.22,0.07,0,11,0,0,d,0,hr,medium
166,0.75,0.77,2,169,8,1,c,0,product_mng,medium
167,0.51,0.32,1,70,2,0,d,0,management,medium
168,0.35,0.2,0,29,1,0,c,0,marketing,medium
169,0.15,0.04,0,8,0,0,c,0,marketing,low
170,0.5,0.52,1,116,5,0,d,0,management,medium
171,0.58,0.6,1,130,6,0,c,0,hr,low
172,0.21,0.06,0,2,0,0,d,0,product_mng,high
173,0.41,0.41,1,112,4,0,c,0,product_mng,low
174,0.39,0.26,0,50,2,0,d,0,product_mng,low
175,0.55,0.6,1,126,6,1,d,0,RandD,low
176,0.3,0.17,1,36,2,0,d,0,IT,medium
177,0.63,0.57,1,133,6,1,d,0,IT,high
178,0.54,0.36,1,80,4,1,c,0,marketing,low
179,0.89,0.84,2,196,8,1,d,0,management,low
180,0.25,0.09,0,29,1,0,e,1,management,low
181,0.5,0.28,1,73,3,1,c,0,marketing,medium
182,0.28,0.14,0,21,1,0,d,0,support,low
183,0.86,0.83,2,184,9,1,b,0,marketing,low
184,0.81,0.78,2,180,8,1,b,0,technical,low
185,0.44,0.19,0,58,2,0,c,0,management,low
186,0.6,0.62,2,135,6,0,d,0,sales,medium
187,0.73,0.76,1,174,8,0,c,0,marketing,high
188,0.48,0.52,1,118,5,1,b,0,management,low
189,0.45,0.48,1,112,5,1,b,0,IT,low
190,0.36,0.21,1,55,2,1,b,0,marketing,low
191,0.2,0.09,0,14,1,0,c,0,hr,low
192,0.83,0.78,2,179,8,0,b,1,management,high
193,0.85,0.85,2,181,8,1,e,0,management,low
194,0.58,0.58,1,125,5,0,c,0,marketing,low
195,0.53,0.29,1,75,3,0,c,0,hr,low
196,0.46,0.31,1,61,3,0,c,1,support,low
197,0.66,0.69,2,140,7,1,e,0,product_mng,low
198,0.81,0.78,2,188,8,1,c,0,product_mng,low
199,0.83,0.78,2,169,8,1,c,0,product_mng,high
200,0.71,0.72,2,151,7,1,d,0,IT,low
201,0.57,0.56,1,125,6,1,b,1,marketing,low
202,0.25,0.1,0,21,0,1,a,0,support,low
203,0.32,0.11,1,33,2,0,c,0,management,low
204,0.83,0.84,2,189,8,1,c,0,marketing,medium
205,0.53,0.51,1,117,6,1,b,1,product_mng,medium
206,0.11,-0.04,0,9,0,0,c,0,product_mng,medium
207,0.27,0.13,0,16,1,0,c,0,sales,low
208,0.57,0.6,1,127,6,1,e,0,sales,medium
209,0.11,-0.01,0,2,0,0,c,0,marketing,low
210,0.33,0.12,0,23,1,0,c,0,management,medium
211,0.47,0.51,1,108,5,1,a,0,marketing,high
212,0.63,0.62,2,135,6,1,c,0,management,low
213,0.59,0.63,1,123,6,1,c,0,RandD,low
214,0.42,0.25,0,51,2,0,c,0,sales,low
215,0.64,0.65,2,140,7,0,d,1,sales,low
216,0.39,0.21,1,58,2,0,d,0,marketing,medium
217,0.51,0.3,1,74,3,1,d,0,product_mng,medium
218,0.68,0.69,1,144,7,1,b,0,hr,low
219,0.56,0.55,1,130,6,1,c,1,sales,medium
220,0.77,0.75,2,172,8,0,b,0,marketing,low
221,0.6,0.55,1,138,6,1,d,0,management,low
222,0.5,0.47,1,122,5,1,d,0,RandD,low
223,0.19,0.05,0,20,1,0,b,0,RandD,low
224,0.51,0.33,1,65,3,1,c,0,technical,low
225,0.46,0.27,1,54,2,0,b,0,management,medium
226,0.4,0.21,0,56,2,1,e,0,product_mng,medium
227,0.89,0.86,2,198,9,1,c,0,management,medium
228,0.58,0.31,1,85,3,0,c,0,management,medium
229,0.83,0.81,2,181,8,1,c,0,marketing,low
230,0.54,0.54,1,117,6,1,c,1,technical,low
231,0.71,0.72,1,167,7,1,e,1,management,low
232,0.65,0.5,1,108,4,1,b,0,management,low
233,0.51,0.48,1,109,5,0,b,0,marketing,high
234,0.59,0.41,1,90,5,1,c,0,support,medium
235,0.36,0.18,0,41,2,1,b,0,RandD,low
236,0.64,0.69,2,149,7,0,d,0,management,low
237,0.41,0.28,1,54,3,0,c,0,product_mng,medium
238,0.15,0.06,0,-3,0,0,c,0,sales,low
239,0.58,0.57,1,130,6,1,d,0,technical,low
240,0.32,0.21,0,33,2,0,a,0,management,medium
241,0.85,0.81,2,185,9,1,c,0,management,medium
242,0.87,0.81,2,193,8,1,c,0,management,medium
243,0.85,0.85,2,190,8,1,b,0,technical,medium
244,0.56,0.38,1,75,3,1,b,0,product_mng,low
245,0.17,-0.02,0,8,0,0,c,0,accounting,low
246,0.84,0.8,2,189,9,1,c,1,management,low
247,0.59,0.34,1,87,4,1,c,0,RandD,low
248,0.89,0.83,2,190,8,1,c,0,accounting,high
249,0.89,0.83,2,190,9,1,b,0,technical,high
250,0.75,0.81,2,166,8,1,d,0,RandD,low
251,0.49,0.28,1,66,3,0,d,0,product_mng,medium
252,0.53,0.38,1,85,4,1,a,0,support,high
253,0.76,0.79,2,172,7,1,c,0,marketing,low
254,0.45,0.29,1,72,2,0,b,0,management,low
255,0.33,0.18,0,42,1,0,c,0,management,low
256,0.48,0.51,1,121,5,1,c,0,product_mng,low
257,0.84,0.83,2,182,9,1,b,0,marketing,high
258,0.64,0.64,1,144,6,1,b,0,management,low
259,0.48,0.52,1,116,5,1,d,1,marketing,low
260,0.22,0.12,0,25,1,0,d,0,IT,medium
261,0.57,0.61,1,119,5,1,c,0,RandD,medium
262,0.93,0.88,2,202,9,1,c,0,product_mng,low
263,0.32,0.15,0,26,1,0,b,0,RandD,low
264,0.42,0.43,1,111,4,1,c,0,technical,low
265,0.83,0.82,2,182,8,1,c,0,technical,low
266,0.68,0.65,1,142,7,1,d,0,support,low
267,0.63,0.58,2,134,6,0,c,0,product_mng,medium
268,0.63,0.62,1,144,7,1,d,0,management,medium
269,0.55,0.34,1,73,3,0,c,0,management,low
270,0.39,0.22,0,59,3,0,c,0,RandD,low
271,0.72,0.77,2,167,7,1,c,0,hr,low
272,0.73,0.69,1,169,7,1,c,0,product_mng,medium
273,0.81,0.83,2,169,8,1,d,0,management,low
274,0.85,0.84,2,183,8,1,c,0,support,low
275,0.46,0.44,1,109,4,1,c,0,hr,high
276,0.62,0.44,1,107,5,0,b,0,accounting,high
277,0.7,0.74,2,156,7,1,d,0,management,low
278,0.56,0.6,1,122,6,1,d,0,support,medium
279,0.6,0.65,1,135,7,0,d,0,marketing,medium
280,0.74,0.71,2,169,7,1,b,0,management,low
281,0.81,0.8,2,177,8,1,c,1,technical,low
282,0.53,0.35,1,66,3,1,c,0,product_mng,low
283,0.55,0.31,1,66,3,0,d,0,management,low
284,0.19,0.07,0,9,1,0,e,0,sales,low
285,0.53,0.5,1,119,5,1,c,0,technical,low
286,0.18,0.06,0,10,0,0,c,0,technical,medium
287,0.61,0.45,1,96,4,0,a,0,management,low
288,0.45,0.47,1,100,5,1,a,1,hr,low
289,0.47,0.22,1,55,2,0,b,0,technical,low
290,0.53,0.48,1,124,5,1,d,0,management,medium
291,0.14,0.02,0,-1,0,0,b,0,technical,low
292,0.23,0.03,0,16,0,0,d,0,RandD,low
293,0.75,0.79,2,156,7,1,c,1,hr,high
294,0.48,0.32,1,65,3,0,d,0,marketing,low
295,0.32,0.09,0,26,1,0,d,0,management,medium
296,0.43,0.51,1,113,5,0,d,0,hr,high
297,0.71,0.69,2,151,7,1,c,0,support,low
298,0.38,0.21,0,47,2,0,d,0,technical,low
299,0.55,0.52,1,126,5,0,d,0,hr,low
300,0.22,0.07,0,11,1,0,b,0,sales,medium
301,0.21,0.09,0,5,0,0,c,0,sales,high
302,0.46,0.49,1,115,5,0,e,0,RandD,low
303,0.46,0.47,1,102,5,1,d,0,management,low
304,0.58,0.59,1,132,6,0,b,0,marketing,low
305,0.64,0.7,1,155,6,1,b,0,management,high
306,0.91,0.86,2,188,9,1,b,1,RandD,medium
307,0.43,0.47,1,102,5,1,c,0,marketing,high
308,0.48,0.33,1,58,3,1,e,0,sales,low
309,0.74,0.69,2,154,7,1,c,0,management,low
310,0.4,0.26,1,46,3,0,c,0,marketing,high
311,0.57,0.41,1,91,4,0,b,0,hr,low
312,0.22,0.09,0,21,0,0,d,0,product_mng,medium
313,0.15,0.01,0,10,0,0,e,0,product_mng,low
314,0.89,0.85,2,200,8,1,c,0,marketing,low
315,0.79,0.77,2,161,7,1,c,0,technical,high
316,0.63,0.6,1,136,6,0,e,0,marketing,medium
317,0.55,0.36,1,79,4,0,c,0,IT,low
318,0.35,0.12,0,29,2,0,c,0,technical,high
319,0.35,0.09,0,25,1,0,c,0,technical,low
320,0.43,0.27,1,50,3,0,a,1,management,low
321,0.5,0.49,1,117,5,1,c,1,management,low
322,0.63,0.69,1,151,6,1,d,1,management,low
323,0.57,0.56,1,125,6,1,e,0,marketing,low
324,0.43,0.26,1,62,2,0,c,0,sales,medium
325,0.85,0.83,2,196,9,1,b,0,marketing,medium
326,0.65,0.7,2,146,6,0,c,0,RandD,high
327,0.46,0.52,1,102,5,0,c,0,technical,low
328,0.51,0.51,1,132,6,0,b,0,marketing,low
329,0.6,0.42,1,87,4,0,c,0,technical,low
330,0.42,0.19,0,60,2,0,c,0,marketing,medium
331,0.54,0.34,1,72,3,0,b,0,IT,low
332,0.69,0.73,1,150,7,1,c,0,technical,medium
333,0.11,0.05,0,-3,0,0,b,0,technical,low
334,0.22,0.15,0,34,1,0,c,0,hr,medium
335,0.24,0.03,0,5,1,0,c,0,marketing,low
336,0.18,0,0,-2,0,0,c,0,sales,low
337,0.79,0.74,2,172,7,1,b,0,product_mng,medium
338,0.62,0.63,1,138,6,0,b,0,hr,low
339,0.58,0.45,1,89,4,1,b,0,hr,low
340,0.25,0.06,0,23,1,0,b,0,product_mng,high
341,0.67,0.46,1,95,5,0,b,0,IT,low
342,0.61,0.41,1,92,4,1,b,0,support,low
343,0.32,0.14,0,24,2,0,d,0,technical,low
344,0.55,0.4,1,88,4,0,d,0,technical,low
345,0.57,0.36,1,72,4,0,b,0,support,medium
346,0.54,0.59,1,118,6,1,b,0,management,medium
347,0.56,0.54,1,132,5,0,b,0,IT,low
348,0.17,0.07,0,6,0,0,c,0,product_mng,medium
349,0.56,0.29,1,67,4,0,b,0,RandD,low
350,0.56,0.54,1,128,6,0,a,0,management,low
351,0.7,0.47,1,94,4,1,c,0,IT,low
352,0.79,0.81,2,167,8,1,d,0,management,low
353,0.56,0.57,1,134,6,1,c,0,management,low
354,0.32,0.13,0,37,1,1,b,0,accounting,medium
355,0.18,0.07,0,19,1,0,c,0,RandD,high
356,0.54,0.55,1,128,6,0,c,0,RandD,low
357,0.16,0.06,0,5,0,0,e,0,RandD,high
358,0.5,0.56,1,124,5,0,c,0,management,medium
359,0.86,0.81,2,182,8,1,d,0,management,medium
360,0.52,0.52,1,109,5,1,a,1,marketing,low
361,0.5,0.38,1,81,3,0,d,0,accounting,medium
362,0.58,0.56,1,126,6,0,a,0,technical,low
363,0.61,0.43,1,96,4,0,c,0,support,low
364,0.47,0.45,1,105,5,1,e,1,sales,low
365,0.88,0.86,2,184,9,1,d,1,RandD,low
366,0.51,0.32,1,86,3,1,e,0,hr,medium
367,0.89,0.9,2,190,9,1,c,0,management,medium
368,0.85,0.8,2,184,8,1,c,0,support,low
369,0.35,0.16,0,32,2,0,c,0,marketing,medium
370,0.21,0.1,0,8,1,0,c,0,RandD,medium
371,0.24,0.05,0,11,0,0,c,0,RandD,low
372,0.15,0.01,0,2,0,0,a,0,marketing,low
373,0.2,0.07,0,28,0,0,b,0,accounting,low
374,0.6,0.59,1,143,6,0,b,0,RandD,low
375,0.27,0.1,0,17,1,0,c,0,IT,medium
376,0.49,0.31,1,71,3,0,c,0,hr,low
377,0.75,0.71,2,170,7,1,d,1,technical,medium
378,0.13,0.04,0,1,0,0,b,0,management,low
379,0.76,0.73,1,155,8,0,c,0,RandD,medium
380,0.46,0.29,1,59,2,0,b,0,technical,low
381,0.27,0.09,0,18,1,0,c,0,support,medium
382,0.61,0.64,2,138,7,1,c,0,product_mng,low
383,0.56,0.57,1,133,5,1,c,0,accounting,low
384,0.83,0.79,2,169,8,0,b,1,IT,low
385,0.67,0.66,2,141,7,1,d,0,hr,low
386,0.72,0.69,2,154,7,1,d,0,technical,low
387,0.43,0.28,1,57,2,0,e,0,management,low
388,0.3,0.16,1,31,2,0,c,0,product_mng,medium
389,0.65,0.72,2,150,6,1,d,0,technical,low
390,0.73,0.71,2,158,8,1,d,0,marketing,low
391,0.91,0.91,2,198,8,1,b,0,product_mng,high
392,0.56,0.41,1,78,4,1,d,0,sales,medium
393,0.53,0.35,1,84,3,1,c,0,management,medium
394,0.71,0.74,1,156,7,1,d,0,product_mng,low
395,0.47,0.34,1,73,3,0,c,0,product_mng,medium
396,0.86,0.82,2,190,9,1,c,1,management,low
397,0.8,0.78,2,172,8,1,b,0,RandD,low
398,0.61,0.35,1,81,4,0,d,0,marketing,high
399,0.66,0.68,1,150,7,1,a,0,IT,low
400,0.66,0.65,2,154,6,1,d,0,hr,medium
401,0.25,0.11,0,19,1,1,b,0,management,low
402,0.84,0.81,2,172,8,1,b,0,marketing,medium
403,0.41,0.45,1,92,5,0,a,0,RandD,low
404,0.74,0.72,2,163,7,1,c,0,management,medium
405,0.5,0.34,1,57,3,1,c,0,RandD,low
406,0.82,0.77,2,188,8,1,b,0,support,low
407,0.52,0.31,1,72,4,0,b,0,IT,high
408,0.13,-0.02,0,0,0,0,d,0,marketing,low
409,0.85,0.87,2,186,9,1,c,1,product_mng,medium
410,0.25,0.13,0,24,1,0,d,0,product_mng,medium
411,0.44,0.3,1,64,3,0,b,0,RandD,low
412,0.88,0.89,2,184,9,1,d,0,RandD,low
413,0.86,0.83,2,185,9,1,d,0,management,low
414,0.51,0.56,1,112,5,0,d,0,marketing,low
415,0.57,0.53,1,123,6,1,c,0,IT,low
416,0.62,0.37,1,87,4,0,d,0,management,low
417,0.44,0.22,1,51,2,1,c,0,IT,medium
418,0.49,0.3,1,74,3,0,c,1,hr,low
419,0.61,0.63,2,125,6,0,c,0,support,medium
420,0.69,0.66,1,149,7,1,e,0,management,high
421,0.72,0.76,2,168,7,1,b,0,hr,high
422,0.69,0.7,2,161,7,1,b,0,sales,medium
423,0.19,0.05,0,15,0,0,c,0,RandD,medium
424,0.68,0.44,1,91,4,1,e,0,marketing,medium
425,0.17,0.07,0,21,0,0,a,0,accounting,medium
426,0.45,0.53,1,100,5,1,b,0,RandD,low
427,0.56,0.39,1,92,3,1,b,0,hr,low
428,0.83,0.81,2,186,8,1,c,0,accounting,low
429,0.53,0.29,1,61,4,1,a,0,RandD,medium
430,0.26,0.12,0,29,1,0,d,0,management,low
431,0.3,0.17,0,38,1,0,a,0,management,high
432,0.68,0.64,1,155,6,1,c,1,support,low
433,0.54,0.6,1,122,6,1,b,0,technical,low
434,0.28,0.1,0,27,1,0,d,0,technical,medium
435,0.21,0.05,0,17,1,0,d,0,technical,low
436,0.61,0.68,1,145,7,1,d,1,hr,low
437,0.27,0.06,0,16,1,0,d,0,IT,low
438,0.74,0.72,2,155,8,1,e,0,technical,low
439,0.63,0.61,1,136,7,0,c,0,management,low
440,0.28,0.05,0,8,1,0,d,0,management,low
441,0.19,0.11,0,8,1,0,b,0,RandD,medium
442,0.92,0.9,2,188,9,1,c,0,marketing,low
443,0.49,0.37,1,72,4,0,a,0,management,low
444,0.48,0.31,1,68,4,0,b,0,sales,low
445,0.72,0.69,1,169,7,1,c,0,sales,low
446,0.88,0.81,2,195,8,1,e,0,management,low
447,0.93,0.89,2,199,9,1,c,0,RandD,low
448,0.68,0.72,1,150,7,1,d,0,product_mng,low
449,0.52,0.36,1,71,4,1,d,0,support,low
450,0.19,0.05,0,15,0,0,c,0,IT,low
451,0.7,0.74,2,159,7,1,b,0,accounting,low
452,0.5,0.53,1,118,5,1,c,1,management,medium
453,0.54,0.33,1,76,3,1,b,0,marketing,medium
454,0.82,0.85,2,186,9,1,d,0,sales,medium
455,0.24,0.08,0,27,1,0,b,0,management,low
456,0.65,0.41,1,99,5,0,b,0,technical,medium
457,0.13,-0.02,0,-4,0,0,d,0,technical,low
458,0.62,0.42,1,95,5,1,e,0,product_mng,low
459,0.17,0.05,0,12,0,0,b,1,RandD,low
460,0.22,0.09,0,24,1,0,d,0,technical,medium
461,0.28,0.08,0,23,2,0,c,0,product_mng,low
462,0.56,0.61,1,122,6,0,d,0,marketing,medium
463,0.66,0.72,1,144,7,1,c,0,support,low
464,0.49,0.55,1,108,6,1,e,0,accounting,low
465,0.89,0.84,2,187,8,1,b,0,IT,medium
466,0.54,0.31,1,69,3,1,e,0,sales,low
467,0.4,0.23,1,53,2,0,d,0,hr,medium
468,0.78,0.75,2,168,8,1,d,0,technical,medium
469,0.35,0.2,0,49,2,0,d,0,IT,low
470,0.87,0.87,2,198,9,1,d,0,technical,low
471,0.17,0.03,0,-1,1,0,d,0,marketing,high
472,0.91,0.89,2,190,8,1,d,0,product_mng,low
473,0.18,0.02,0,15,0,0,c,0,sales,low
474,0.8,0.78,2,180,8,1,e,0,technical,low
475,0.47,0.5,1,102,4,0,c,0,technical,medium
476,0.93,0.88,2,202,9,1,d,0,technical,low
477,0.17,0.03,0,11,1,0,d,0,support,low
478,0.47,0.48,1,112,5,1,d,0,marketing,low
479,0.9,0.85,2,204,9,1,d,0,sales,medium
480,0.46,0.43,1,100,5,0,a,1,management,medium
481,0.55,0.6,1,135,6,1,d,0,management,low
482,0.64,0.67,1,136,7,1,a,0,sales,medium
483,0.62,0.38,1,91,4,0,c,0,sales,low
484,0.55,0.52,1,125,5,1,d,0,support,low
485,0.52,0.55,1,122,5,0,d,0,hr,low
486,0.81,0.78,2,171,8,1,d,0,product_mng,low
487,0.21,0.03,0,13,0,0,c,0,IT,medium
488,0.39,0.21,1,61,2,0,b,0,hr,medium
489,0.86,0.83,2,189,9,1,c,1,management,medium
490,0.82,0.83,2,170,8,1,c,0,product_mng,low
491,0.64,0.44,1,87,4,1,c,0,management,medium
492,0.55,0.53,1,128,5,0,c,0,technical,low
493,0.39,0.24,0,64,2,0,d,0,hr,high
494,0.35,0.13,0,36,1,0,c,0,support,low
495,0.59,0.37,1,93,4,0,d,0,hr,medium
496,0.54,0.36,1,65,4,1,c,0,management,medium
497,0.49,0.54,1,114,5,1,c,0,sales,low
498,0.22,0.08,0,13,1,0,b,0,sales,low
499,0.92,0.9,2,197,9,1,e,0,technical,low
500,0.91,0.93,2,208,8,1,c,0,technical,high
501,0.62,0.66,1,146,6,1,d,0,accounting,medium
502,0.46,0.44,1,102,5,0,d,0,RandD,medium
503,0.44,0.25,1,64,3,0,d,0,sales,medium
504,0.75,0.74,2,153,8,1,a,0,IT,low
